message_type,repeat_indicator,mmsi,navigation_status,rate_of_turn,speed_over_ground,position_accuracy,longitude,lon_hemisphere,latitude,lat_hemisphere,course_over_ground,true_heading,utc_second,sync_state,slot_timeout,raim_flag
1,0,566449000,0,+0.0,0.0,0,103.7422183,E,1.2928650,N,15.3,115,30,0,0,0
4,0,5631100,0,0,0,0,103.8000000,E,1.2666667,N,0,0,0,0,0,0
3,0,636024446,0,+127.0,2.2,0,103.7603950,E,1.2870333,N,54.2,215,28,0,0,0
1,0,525107020,0,+127.0,1.8,1,103.7418167,E,1.2727333,N,63.0,85,28,0,3,0
3,0,636024446,0,+127.0,2.2,0,103.7604133,E,1.2870433,N,55.2,216,30,0,0,0
1,0,413133000,0,+0.0,0.2,1,103.7927633,E,1.2665000,N,309.7,31,33,0,2,0
3,0,636015806,5,+0.0,0.0,1,103.7649433,E,1.2714217,N,84.7,300,24,0,0,0
1,0,566612000,0,-128.0,0.1,0,103.8214067,E,1.2373983,N,6.4,511,33,0,4,0
1,0,566052000,0,-128.0,0.0,0,103.7539067,E,1.2967783,N,264.4,511,35,0,3,1
1,0,563014980,2,-128.0,0.0,1,103.7537467,E,1.2966833,N,360.0,511,35,0,6,1
1,0,477929200,0,+0.0,0.7,0,103.7808300,E,1.2676617,N,113.2,34,34,0,0,0
1,0,352002402,0,-128.0,0.0,1,103.7541417,E,1.2967233,N,280.0,511,35,0,2,1
1,0,566530000,0,-720.0,0.3,1,103.7521983,E,1.2382083,N,222.8,70,37,0,1,1
1,0,563185100,0,+0.0,0.1,0,103.7602183,E,1.2910717,N,326.6,303,34,0,6,0
3,0,563218000,11,-128.0,0.0,1,103.7571317,E,1.2996167,N,51.4,511,36,0,0,1
1,0,352001448,0,+2.2,0.4,1,103.7369650,E,1.2812533,N,68.1,310,24,0,0,0
1,0,563187800,0,+0.0,0.8,1,103.7793800,E,1.2664417,N,112.7,127,34,0,3,0
1,0,566623000,8,-128.0,0.1,1,103.7604850,E,1.2910250,N,21.1,511,38,0,3,0
1,0,565207000,15,-128.0,0.2,0,103.7608217,E,1.2911633,N,321.3,511,36,0,2,1
1,0,636024446,0,+127.0,2.1,0,103.7604550,E,1.2870717,N,57.6,218,35,0,2,0
3,0,636022412,5,+0.0,0.0,1,103.7665783,E,1.2870433,N,45.7,122,37,0,5,0
1,0,563029950,15,-128.0,0.1,1,103.7610700,E,1.2914800,N,360.0,511,39,0,5,1
3,0,574005800,5,+0.0,0.0,1,103.7762750,E,1.2771350,N,79.9,30,40,0,0,0
1,0,538008785,0,+0.0,0.0,1,103.7697833,E,1.2363667,N,282.0,130,39,0,1,0
3,0,636024446,0,+127.0,2.1,0,103.7604967,E,1.2870950,N,61.1,220,40,0,0,0
1,0,566052000,0,-128.0,0.0,0,103.7539033,E,1.2967783,N,265.2,511,46,0,0,1
1,0,352002402,0,-128.0,0.1,1,103.7541450,E,1.2967233,N,280.0,511,45,0,7,1
1,0,563184200,0,-128.0,0.1,0,103.7613533,E,1.2903567,N,289.6,511,47,0,0,0
1,0,566623000,8,-128.0,0.0,1,103.7604950,E,1.2910200,N,21.1,511,47,0,4,0
3,0,563451000,0,+0.0,5.3,0,103.7604283,E,1.2645700,N,346.8,342,49,0,1,0
1,0,563066530,0,-128.0,0.1,1,103.7608317,E,1.2907567,N,174.2,511,48,0,4,0
1,0,563029950,15,-128.0,0.1,1,103.7610700,E,1.2914783,N,360.0,511,50,0,7,1
1,0,566449000,0,+0.0,0.0,0,103.7422433,E,1.2929083,N,15.3,115,51,0,3,0
1,0,538008785,0,+0.0,0.0,1,103.7697667,E,1.2363667,N,282.0,130,49,0,1,0
3,0,352002048,5,+0.0,0.0,1,103.7434833,E,1.2922833,N,74.0,114,50,0,0,0
1,0,413133000,0,+0.0,0.2,1,103.7927633,E,1.2665033,N,310.7,31,52,0,3,0
3,0,414310000,5,+0.0,0.0,0,103.7804000,E,1.2625933,N,141.1,31,52,0,5,0
1,0,563066540,0,-720.0,0.4,0,103.7525967,E,1.2385950,N,289.8,146,54,0,2,0
1,0,563009860,0,-128.0,7.7,1,103.7715033,E,1.2678683,N,327.5,511,56,0,7,0
1,0,636024446,0,+127.0,2.0,0,103.7606200,E,1.2871417,N,69.2,227,54,0,2,0
1,0,565418000,0,-128.0,0.0,1,103.7605133,E,1.2908967,N,360.0,511,56,0,0,1
1,0,563185100,0,+0.0,0.1,0,103.7602250,E,1.2910717,N,212.2,301,54,0,6,0
1,0,477929200,0,+0.0,0.7,0,103.7808983,E,1.2676300,N,115.1,34,54,0,7,0
1,0,563083840,5,+127.0,8.7,1,103.7495317,E,1.2796033,N,317.3,325,54,0,4,0
1,0,352001448,0,+2.2,0.4,1,103.7369900,E,1.2812583,N,66.9,311,44,0,6,0
1,0,566096000,0,-128.0,1.9,0,103.7615767,E,1.2862050,N,192.8,511,57,0,0,0
1,0,352002402,0,-128.0,0.0,1,103.7541467,E,1.2967233,N,280.0,511,56,0,4,1
3,0,229993000,1,+0.4,0.0,0,103.8028167,E,1.2544383,N,265.5,214,59,0,5,0
1,0,563021430,0,-128.0,0.1,1,103.7608233,E,1.2915533,N,126.8,511,59,0,3,1
3,0,525107020,0,+127.0,2.1,1,103.7420833,E,1.2728333,N,70.0,95,57,0,0,0
1,0,563029950,15,-128.0,0.1,1,103.7610667,E,1.2914767,N,360.0,511,59,0,3,1
3,0,565081000,0,-720.0,6.6,1,103.7578100,E,1.2675000,N,293.4,284,59,0,0,1
3,0,351563000,5,+0.0,0.0,1,103.7618650,E,1.2897383,N,356.6,121,0,0,5,1
1,0,636021221,15,-128.0,0.0,0,103.6794317,E,1.2947667,N,360.0,511,59,0,2,0
1,0,538008785,0,+0.0,0.0,1,103.7697667,E,1.2363667,N,282.0,130,59,0,5,0
1,0,413133000,0,+0.0,0.2,1,103.7927517,E,1.2665267,N,309.7,31,2,0,2,0
3,0,636024446,0,+127.0,1.9,0,103.7606800,E,1.2871567,N,74.4,230,1,0,0,0
3,0,372205000,1,+0.0,0.0,1,103.8106483,E,1.2439417,N,59.6,275,16,0,5,0
1,0,563185100,0,+0.0,0.0,0,103.7602283,E,1.2910733,N,279.7,301,3,0,5,0
3,0,352002881,5,+0.0,0.0,0,103.7525200,E,1.2848350,N,139.9,30,6,0,5,0
3,0,636018263,5,+0.0,0.0,0,103.7648400,E,1.2809967,N,5.0,122,2,0,0,0
1,0,477929200,0,+0.0,0.7,0,103.7809250,E,1.2676133,N,116.3,34,3,0,7,0
1,0,563009190,0,-128.0,0.1,1,103.7602783,E,1.2911483,N,29.5,511,6,0,1,0
1,0,566623000,8,-128.0,0.1,1,103.7605050,E,1.2910283,N,21.1,511,6,0,0,0
1,0,414360000,0,+0.7,0.0,1,103.8130133,E,1.2208800,N,239.9,295,58,0,3,0
1,0,352001448,0,+2.2,0.4,1,103.7370033,E,1.2812617,N,66.6,311,54,0,1,0
1,0,565418000,0,-128.0,0.1,1,103.7605133,E,1.2908967,N,360.0,511,6,0,1,1
1,0,636024446,0,+127.0,1.9,0,103.7607067,E,1.2871633,N,77.4,232,4,0,6,0
1,0,352002402,0,-128.0,0.0,1,103.7541467,E,1.2967233,N,280.0,511,6,0,2,1
1,0,538008785,0,+0.0,0.0,1,103.7697833,E,1.2363667,N,282.0,130,9,0,2,0
3,0,636024446,0,+127.0,1.9,0,103.7607400,E,1.2871667,N,79.6,234,8,0,0,0
3,0,563088700,5,+0.0,0.0,0,103.7913350,E,1.2646617,N,280.2,30,8,0,5,0
1,0,563029950,15,-128.0,0.1,1,103.7610633,E,1.2914767,N,360.0,511,10,0,0,1
1,0,341987000,1,-128.0,2.8,1,103.7480467,E,1.2874400,N,189.4,511,10,0,3,1
1,0,566449000,0,+0.0,0.0,0,103.7422517,E,1.2928900,N,15.3,115,11,0,4,0
3,0,431315000,5,+0.0,0.0,0,103.7624733,E,1.2730500,N,72.9,300,11,0,5,0
3,0,525107020,0,+127.0,2.1,1,103.7422167,E,1.2728667,N,74.0,99,9,0,0,0
1,0,413133000,0,+0.0,0.2,1,103.7927250,E,1.2665250,N,309.8,30,12,0,1,0
3,0,636024446,0,+127.0,1.8,0,103.7607750,E,1.2871683,N,82.5,236,12,0,0,0
3,0,565081000,0,-720.0,6.6,1,103.7574100,E,1.2676567,N,290.1,279,13,0,0,1
3,0,352004662,1,+0.0,0.1,0,103.8215450,E,1.2270417,N,24.2,285,14,0,0,0
3,0,375845000,5,+0.0,0.1,0,103.7598200,E,1.2946917,N,37.0,303,15,0,5,0
1,0,563185100,0,+0.0,0.1,0,103.7602333,E,1.2910733,N,232.3,301,12,0,1,0
1,0,566052000,0,-128.0,0.0,0,103.7538967,E,1.2967800,N,268.1,511,16,0,1,1
1,0,563083840,5,+127.0,8.5,1,103.7491367,E,1.2802450,N,332.8,351,13,0,5,0
1,0,566623000,8,-128.0,0.1,1,103.7605050,E,1.2910350,N,21.1,511,16,0,6,0
1,0,565418000,0,-128.0,0.1,1,103.7605133,E,1.2908967,N,360.0,511,16,0,4,1
1,0,563187800,0,-720.0,0.7,1,103.7795350,E,1.2664050,N,121.3,130,14,0,2,0
1,0,352001448,0,+2.9,0.4,1,103.7370167,E,1.2812617,N,66.0,312,4,0,3,0
3,0,525107020,0,+127.0,2.1,1,103.7422667,E,1.2728833,N,75.0,101,14,0,0,0
1,0,477929200,0,+0.0,0.7,0,103.7809633,E,1.2675900,N,118.2,34,15,0,1,0
1,0,563010320,0,+0.0,10.1,0,103.7431000,E,1.2427833,N,84.0,82,16,0,0,0
3,0,636024446,0,+127.0,1.8,0,103.7608167,E,1.2871683,N,86.5,239,17,0,0,0
1,0,563029950,15,-128.0,0.0,1,103.7610567,E,1.2914767,N,360.0,511,19,0,2,1
1,0,341987000,1,-128.0,2.9,1,103.7480200,E,1.2873217,N,192.2,511,19,0,2,1
1,0,563022400,0,-128.0,0.0,1,103.7557633,E,1.3026850,N,360.0,511,22,0,1,0
3,0,565081000,0,-720.0,6.5,1,103.7571750,E,1.2677317,N,287.2,277,21,0,0,1
3,0,525005283,5,-128.0,0.0,0,103.7263417,E,1.3008133,N,283.4,511,23,0,5,0
1,0,413133000,0,+0.0,0.2,1,103.7927183,E,1.2665633,N,310.9,30,23,0,3,0
3,0,636024446,0,+127.0,1.7,0,103.7608583,E,1.2871650,N,90.9,241,22,0,0,0
1,0,566052000,0,-128.0,0.0,0,103.7538900,E,1.2967867,N,267.2,511,26,0,1,1
3,0,566096000,0,-128.0,1.8,0,103.7614917,E,1.2859950,N,207.1,511,26,0,0,1
1,0,563083840,5,+127.0,8.4,1,103.7490600,E,1.2806250,N,347.3,5,23,0,0,0
1,0,563185100,0,+0.0,0.0,0,103.7602367,E,1.2910767,N,135.2,301,24,0,5,0
1,0,636024446,0,+127.0,1.7,0,103.7608733,E,1.2871633,N,93.6,242,24,0,3,0
1,0,352001448,0,+2.9,0.4,1,103.7370333,E,1.2812650,N,65.5,312,15,0,2,0
1,0,565418000,0,-128.0,0.1,1,103.7605133,E,1.2908983,N,360.0,511,27,0,6,1
1,0,566623000,8,-128.0,0.1,1,103.7605067,E,1.2910333,N,21.1,511,28,0,2,0
1,0,352002402,0,-128.0,0.0,1,103.7541500,E,1.2967267,N,280.0,511,27,0,3,1
1,0,565081000,0,-720.0,6.5,1,103.7570283,E,1.2677717,N,284.7,276,26,0,1,1
4,0,5631100,0,0,0,0,103.8000000,E,1.2666667,N,0,0,0,0,0,0
3,0,636024446,0,+127.0,1.7,0,103.7609033,E,1.2871583,N,96.2,245,28,0,0,0
1,0,563029950,15,-128.0,0.1,1,103.7610650,E,1.2914800,N,360.0,511,30,0,2,1
1,0,566449000,0,+0.0,0.0,0,103.7422300,E,1.2928833,N,15.3,115,31,0,5,0
3,0,636024446,0,+127.0,1.7,0,103.7609183,E,1.2871550,N,98.9,246,30,0,0,0
1,0,413133000,0,+0.0,0.2,1,103.7927167,E,1.2665700,N,309.8,30,33,0,1,0
1,0,566052000,0,-128.0,0.0,0,103.7538900,E,1.2967883,N,267.3,511,35,0,2,1
1,0,565418000,0,-128.0,0.2,1,103.7605133,E,1.2908983,N,360.0,511,35,0,3,1
1,0,477929200,0,+0.0,0.6,0,103.7810167,E,1.2675550,N,120.8,34,35,0,3,0
1,0,566623000,8,-128.0,0.1,1,103.7605083,E,1.2910283,N,162.8,511,38,0,2,0
1,0,563009180,0,-128.0,0.4,1,103.7506800,E,1.2802000,N,168.8,511,39,0,1,0
1,0,563029950,15,-128.0,0.2,1,103.7610667,E,1.2914817,N,360.0,511,39,0,4,1
3,0,636024446,0,+127.0,1.6,0,103.7609733,E,1.2871367,N,107.3,250,38,0,0,0
1,0,565733000,0,-720.0,5.5,0,103.7554950,E,1.2697683,N,262.2,256,42,0,0,0
3,0,229736000,5,+3.6,0.0,1,103.7851233,E,1.2733733,N,274.7,302,40,0,5,0
1,0,538008785,0,+0.0,0.0,1,103.7698333,E,1.2363500,N,282.0,130,40,0,0,0
3,0,636024446,0,+127.0,1.6,0,103.7609867,E,1.2871317,N,109.6,251,40,0,0,0
1,0,566052000,0,-128.0,0.1,0,103.7538917,E,1.2967867,N,267.6,511,45,0,4,1
1,0,563185100,0,+0.0,0.0,0,103.7602367,E,1.2910767,N,78.7,301,43,0,3,0
1,0,563187800,0,+0.0,0.7,1,103.7796217,E,1.2663317,N,119.0,128,43,0,1,0
1,0,566623000,8,-128.0,0.0,1,103.7605100,E,1.2910283,N,70.0,511,47,0,3,0
1,0,563184200,0,-128.0,0.0,0,103.7613000,E,1.2902600,N,289.6,511,48,0,6,0
1,0,563218000,11,-128.0,0.0,1,103.7571400,E,1.2996200,N,51.4,511,46,0,3,1
1,0,636024446,0,+127.0,1.5,0,103.7610167,E,1.2871133,N,115.3,254,45,0,3,0
1,0,477929200,0,+0.0,0.6,0,103.7810417,E,1.2675367,N,122.5,34,45,0,2,0
3,0,351496000,5,+0.0,0.0,0,103.7584100,E,1.2755250,N,359.8,301,49,0,5,0
1,0,563021430,0,-128.0,0.3,1,103.7608250,E,1.2915583,N,125.7,511,49,0,5,1
1,0,563010320,0,+0.0,10.2,0,103.7442833,E,1.2429500,N,82.0,81,48,0,2,0
1,0,563029950,15,-128.0,0.2,1,103.7610667,E,1.2914850,N,360.0,511,50,0,6,1
1,0,525107020,0,+0.0,2.2,1,103.7426000,E,1.2728667,N,96.0,106,49,0,4,0
3,0,636024446,0,+127.0,1.5,0,103.7610400,E,1.2870983,N,118.5,256,49,0,0,0
1,0,538008785,0,+0.0,0.0,1,103.7698333,E,1.2363500,N,282.0,130,50,0,0,0
3,0,563142500,5,+0.0,0.0,0,103.7838083,E,1.2685717,N,8.5,31,52,0,5,0
1,0,566052000,0,-128.0,0.0,0,103.7538917,E,1.2967850,N,268.9,511,55,0,5,1
3,0,565081000,0,-720.0,6.5,1,103.7562400,E,1.2678933,N,277.0,269,53,0,0,1
1,0,636024446,0,+127.0,1.3,0,103.7610633,E,1.2870800,N,122.4,259,54,0,1,0
1,0,563187800,0,-720.0,0.7,1,103.7796500,E,1.2663033,N,125.3,125,53,0,5,0
1,0,566096000,0,-128.0,1.4,1,103.7614067,E,1.2858017,N,212.8,511,56,0,5,1
1,0,565418000,0,-128.0,0.5,1,103.7605133,E,1.2908967,N,71.3,511,56,0,4,1
1,0,563185100,0,+0.0,0.0,0,103.7602383,E,1.2910750,N,358.5,301,54,0,5,0
1,0,352002402,0,-128.0,0.0,1,103.7541483,E,1.2967317,N,280.0,511,56,0,3,1
1,0,566623000,8,-128.0,0.1,1,103.7605117,E,1.2910250,N,214.5,511,58,0,5,0
1,0,563184200,0,-128.0,0.0,0,103.7612950,E,1.2902583,N,289.6,511,58,0,6,0
1,0,563010320,0,+0.0,10.1,0,103.7446000,E,1.2430000,N,81.0,82,55,0,0,0
1,0,525107020,0,+0.0,2.2,1,103.7427000,E,1.2728500,N,99.0,106,58,0,2,0
1,0,563029950,15,-128.0,0.2,1,103.7610667,E,1.2914817,N,360.0,511,59,0,2,1
3,0,636024446,0,+127.0,1.3,0,103.7610783,E,1.2870683,N,125.5,261,57,0,0,0
1,0,563022400,0,-128.0,0.0,1,103.7557600,E,1.3026883,N,360.0,511,2,0,2,0
3,0,565081000,0,-720.0,6.5,1,103.7560300,E,1.2679083,N,274.9,267,0,0,0,1
1,0,413133000,0,+0.0,0.1,1,103.7926983,E,1.2665617,N,301.8,31,2,0,1,0
1,0,566052000,0,-128.0,0.0,0,103.7538917,E,1.2967817,N,269.5,511,5,0,4,1
1,0,563185100,0,+0.0,0.0,0,103.7602400,E,1.2910750,N,106.9,301,3,0,4,0
1,0,477929200,0,+0.0,0.6,0,103.7810867,E,1.2675017,N,126.1,34,4,0,6,0
1,0,563187800,0,-720.0,0.7,1,103.7796717,E,1.2662750,N,129.7,122,3,0,6,0
1,0,414360000,0,+0.2,0.0,1,103.8129933,E,1.2208783,N,239.9,295,58,0,2,0
1,0,352001448,0,+3.6,0.3,1,103.7370733,E,1.2812767,N,70.1,315,54,0,0,0
1,0,563184200,0,-128.0,0.0,0,103.7612900,E,1.2902583,N,289.6,511,8,0,3,0
1,0,352002402,0,-128.0,0.1,1,103.7541433,E,1.2967300,N,280.0,511,6,0,1,1
1,0,563066530,0,-128.0,0.2,1,103.7608300,E,1.2907767,N,172.1,511,7,0,4,0
1,0,563069230,0,+0.0,0.0,0,103.7744767,E,1.2730383,N,292.2,225,7,0,0,0
1,0,563009180,0,-128.0,0.8,1,103.7506583,E,1.2800950,N,199.9,511,9,0,1,0
3,0,200000000,15,-128.0,0.0,0,0,0,0,0,360.0,511,60,3,0,0
1,0,563021430,0,-128.0,0.3,1,103.7608267,E,1.2915633,N,134.9,511,9,0,1,1
3,0,636024446,0,+127.0,1.0,0,103.7611150,E,1.2870333,N,133.2,265,7,0,0,0
